Type,Benchmark,Task,Instruction,Images
Edit,Visual Product Search,Search for exact match products based on image,"This bedroom has a dresser, nightstands, and other furniture. I only want to find the dresser - can you locate it?",vps_scene_bedroom_000_SAVOR_LIFE_Farmhouse_Dresser_and_Nightstand_Sets_4_Piece_57.jpg
Edit,Visual Product Search,Search for exact match products based on image,I love the nightstand in this bedroom set photo. Find me the exact nightstand to purchase,vps_scene_bedroom_001_LOUVIXA_Farmhouse_Bedroom_Sets_of_4_4Pcs_Farmhouse_Dresser_S.jpg
Edit,Visual Product Search,Search for exact match products based on image,This image shows a whole kitchen utensil set. I just want to find the silicone spatula from this collection - where can I buy it separately?,vps_scene_kitchen_000_Astercook_39_PCS_Kitchen_Utensils_Set_Silicone_Cooking_Utens.jpg
Edit,Visual Product Search,Search for exact match products based on image,"Among all these kitchen gadgets, I'm looking for the wooden spoon set. Help me find the exact one",vps_scene_kitchen_001_Kitchen_Utensil_Set-Silicone_Cooking_Utensils-33_Kitchen_Gad.jpg
Edit,Visual Product Search,Search for exact match products based on image,I see multiple bathroom items in this photo. I specifically want the shower caddy organizer - find it for me,vps_scene_bathroom_000_Veken_Shower_Caddy_6-Pack_Advanced_Rustproof_Design_No_Drill.jpg
Edit,Visual Product Search,Search for exact match products based on image,This bathroom accessories set has several pieces. I only need the soap dispenser - can you find it?,vps_scene_bathroom_001_Clara_Clark_Bathroom_Accessories_Set_-_Bathroom_Set_Bathroom.jpg
Edit,Visual Product Search,Search for exact match products based on image,"In this desk setup, there's a monitor stand with drawers. That's the item I want - find it for me",vps_scene_desk_000_gianotter_Dual_Monitor_Stand_Riser_Desk_Organizer_With_Drawe.jpg
Edit,Visual Product Search,Search for exact match products based on image,I like the desk mat in this workspace photo. Can you identify it and find where to purchase it?,vps_scene_desk_001_Felt_Desk_Mat__Computer_Mat_for_Desk36x12Inches__Large_Felt.jpg
Edit,Visual Product Search,Search for exact match products based on image,This dining set has a table and chairs. I already have a table - just find me those exact dining chairs,vps_scene_dining_000_Signature_Design_by_Ashley_Skempton_Cottage_Dining_7_Piece_S.jpg
Edit,Visual Product Search,Search for exact match products based on image,I'm looking at this dining room setup. The wooden dining table is what I want - help me find it online,vps_scene_dining_001_IRONCK_Dining_Table_Set_for_4_Wood_Kitchen_Table_with_Uphols.jpg
Edit,Visual Product Search,Search for exact match products based on image,"This patio has a full furniture set with sofa, chairs, and table. I just want the wicker outdoor sofa - find it",vps_scene_patio_000_KROFEM_8-Piece_Patio_Furniture_Set_Outdoor_Wicker_Rattan_Sec.jpg
Edit,Visual Product Search,Search for exact match products based on image,"Among all the patio furniture in this image, I need the small coffee table. Can you locate it for purchase?",vps_scene_patio_001_Shintenchi_4_Piece_Outdoor_Patio_Furniture_Set_Wicker_Rattan.jpg
Edit,Visual Product Search,Search for exact match products based on image,There are multiple makeup and skincare items on this vanity. I want the clear organizer with gold frame - find it for me,vps_scene_vanity_000_CoralHouse_Clear_Makeup_Organizer_with_Gold_Frame__Counterto.jpg
Edit,Visual Product Search,Search for exact match products based on image,I see a skincare organizer in this photo among other cosmetic items. Help me find that specific organizer,vps_scene_vanity_001_NestOrganix_Makeup_Organizer_Skincare_Organizers_-_Cosmetic.jpg
Edit,Visual Product Search,Search for exact match products based on image,This image shows a set of scented candles. I want to find the lavender pillar candle specifically - where can I buy it?,vps_candle_000_4_Pack_Vanilla_Lavender_Scented_Pillar_CandlesNatural_Soy_Wa.jpg
Edit,Visual Product Search,Search for exact match products based on image,I took this photo of my friend's everyday carry items. I want to find the wireless earbuds case shown here,vps_earbuds_000_Apple_AirPods_Pro_3_Wireless_Earbuds_Active_Noise_Cancellati.jpg
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Baking Essentials' shoppable collage with must-have tools,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Morning Yoga Routine' shoppable post with yoga gear,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Weekend Camping Trip' shoppable mood board,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Spring Garden Starter Kit' shoppable visual post,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate an 'Artist's Studio Essentials' shoppable collage,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Coffee Lover's Corner' shoppable post with brewing gear,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'New Puppy Welcome Kit' shoppable visual,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Beach Day Essentials' shoppable mood board,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Perfect Picnic Setup' shoppable collage,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Self-Care Sunday Spa Kit' shoppable post,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Home Gym Starter Pack' shoppable visual,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Craft Cocktail Night' shoppable mood board,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Cozy Reading Nook' shoppable collage with books and decor,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'BBQ Master's Toolkit' shoppable post,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Meditation & Mindfulness Kit' shoppable visual,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Work From Home Essentials' shoppable collage,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Date Night Outfit' shoppable post for couples,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Kids Birthday Party Supplies' shoppable mood board,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Plant Parent Starter Kit' shoppable visual,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Travel Packing Essentials' shoppable collage,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Minimalist Kitchen Makeover' shoppable post,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Outdoor Movie Night Setup' shoppable mood board,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Sustainable Living Essentials' shoppable visual,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Holiday Gift Guide for Her' shoppable collage,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Fitness Recovery Kit' shoppable post with foam rollers and gear,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Dorm Room Essentials' shoppable mood board,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Sunday Brunch Hosting Kit' shoppable visual,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Create a 'Winter Skincare Routine' shoppable collage,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Generate a 'Pet-Friendly Home Decor' shoppable post,
Generation,Shoppable Posts,Generate inspirational visual posts that contain multiple styled products that can be purchased,Design a 'Summer Festival Outfit Guide' shoppable mood board,
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Place this coffee table in the living room,home_scene_000_Sponsored_Ad_-_CHITA_Curved_Sectional_Sofa_with_Lumbar_Pillo.jpg; home_product_041_Sponsored_Ad_-_Triangle_Glass_Coffee_Table_Mid-Century_Moder.jpg; home_product_013_Sponsored_Ad_-_Kokaaee_Throw_Pillow_Covers_18x18_-_Tufted_De.jpg; home_product_004_Seaside_village_Arc_Floor_Lamps_for_Living_Room_Modern_Stand.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Add this wall art to the living room scene,home_scene_001_Sponsored_Ad_-_JIASTING_Mid_Century_1_Loveseat_Sofa_and_2_Ac.jpg; home_product_021_Sponsored_Ad_-_IAFWZX_Framed_Blue_Gray_Abstract_Wall_Art_Mod.jpg; home_product_014_Sponsored_Ad_-_ZWJD_Throw_Pillow_Covers_20x20_Set_of_2_Strip.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Show how this area rug would look in my living room,home_scene_002_Sponsored_Ad_-_CHITA_127_Super_Large_Sectional_Couches_for_L.jpg; home_product_030_Srugn_Washable_Rugs_5x7_Area_Rugs_for_Living_Room_Modern_Abs.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Insert this area rug into the living room naturally,home_scene_003_Sponsored_Ad_-_Mjkone_3_Pieces_Living_Room_Sofa_Set_Modern_S.jpg; home_product_027_Sponsored_Ad_-_BESTSWEETIE_5x7_Area_Rugs_for_Living_Room_Was.jpg; home_product_031_5x7_Area_Rug_Living_Room_Rug_Washable_Modern_Abstract_Soft_T.jpg; home_product_037_NUMENN_Bookshelf_5_Tier_Bookshelves_Home_Office_Bookcase_She.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Can you place these items in my living room?,home_scene_004_AVZEAR_3-Piece_Living_Room_Sectional_Sofa_Set_Mid-Century_Mo.jpg; home_product_005_Dimmable_LED_Lamps_for_Living_Room_with_3_Color_Temperatures.jpg; home_product_032_Sponsored_Ad_-_Furinno_Basic_Book_Shelf_5-Tier_Bookshelf_Sto.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Position this floor lamp in the living room corner,home_scene_005_Toseslo_Power_Reclining_Sofa_Set_with_LED_Light_Leather_Sect.jpg; home_product_001_Sponsored_Ad_-_Gold_Floor_Lamps_for_Living_Room_Arc_Floor_La.jpg; home_product_025_Sponsored_Ad_-_Kureful_Gold_Wall_Decor_-_Black_Canvas_Wall_A.jpg; home_product_023_Large_Framed_Black_and_White_Neutral_Abstract_Wall_Art_for_L.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Virtually stage this wall art in the living room,home_scene_006_Portaforta_Sectional_Sofa_Set_77_Convertible_Sofa_45_Lovesea.jpg; home_product_018_Sponsored_Ad_-_Abstract_Framed_Wall_Art_Colorful_Picture_Pri.jpg; home_product_019_Sponsored_Ad_-_Wieco_Art_Large_Wall_Art_Canvas_Prints_of_Caf.jpg; home_product_045_Sponsored_Ad_-_SMARTIK_Glass_Coffee_Table_Modern_Clear_Coffe.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Place this area rug in the living room,home_scene_000_Sponsored_Ad_-_CHITA_Curved_Sectional_Sofa_with_Lumbar_Pillo.jpg; home_product_029_Sponsored_Ad_-_Tyrot_Modern_Geometric_5x7_Area_Rugs_Non_Slip.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Place this table lamp in the bedroom,home_scene_007_Sponsored_Ad_-_CARPETNAL_Farmhouse_Dresser_and_Nightstand_Se.jpg; home_product_008_Sponsored_Ad_-_Lumspax_21_Modern_Ceramic_Table_Lamp_Set_of_2.jpg; home_product_036_Furinno_Jaya_Book_Shelf_5-Tier_Bookshelf_Bookcase_with_Adjus.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Add this throw pillows to the bedroom scene,home_scene_008_Sponsored_Ad_-_BORNOON_9-Drawer_Dresser_for_Bedroom_Modern_W.jpg; home_product_016_Sponsored_Ad_-_MIULEE_Decorative_Linen_Pillow_Covers_18x18_I.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Show how this throw pillows would look in my bedroom,home_scene_009_Sponsored_Ad_-_T4TREAM_Farmhouse_Queen_Size_Bed_Frame_with_5.jpg; home_product_017_MIULEE_Pack_of_2_Corduroy_Decorative_Throw_Pillow_Covers_18x.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Insert this table lamp into the bedroom naturally,home_scene_010_Sponsored_Ad_-_Fluted_Dresser_for_Bedroom_with_6_Drawers_48_.jpg; home_product_011_SAFAVIEH_Lighting_Collection_Ersta_Brown_Modern_Rustic_Farmh.jpg; home_product_006_Sponsored_Ad_-_Glivpny_Vintage_Lamp_for_Living_Room_16_Moder.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Can you place these items in my bedroom?,home_scene_011_Kings_Brand_Furniture_Napa_Farmhouse_6-Piece_Bedroom_Set_-_B.jpg; home_product_049_Sponsored_Ad_-_OBJET_D_ART_Small_Round_Gold_End_Tables_Laris.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Stage this area rug on the bedroom nightstand area,home_scene_012_LOUVIXA_Farmhouse_Bedroom_Sets_of_4_4Pcs_Farmhouse_Dresser_S.jpg; home_product_026_Sponsored_Ad_-_GarveeHome_5x7_Abstract_Area_Rug_for_Living_R.jpg; home_product_015_Sponsored_Ad_-_FUTEI_Dusty_Blue_Chenille_Decorative_Throw_Pi.jpg; home_product_047_Sponsored_Ad_-_danpinera_2-Tier_End_Table_Outdoor_Side_Table.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Place this side table in the kitchen,home_scene_013_Sponsored_Ad_-_Keyluv_Kitchen_Storage_Island_with_2_Stools_5.jpg; home_product_046_Sponsored_Ad_-_ZEXVIDA_Round_Gold_Side_Table_2_Tier_Tempered.jpg; home_product_020_Sponsored_Ad_-_PHOPAGO_Black_Abstract_Wall_Art_Large_16x24in.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Add this table lamp to the kitchen scene,home_scene_014_Sponsored_Ad_-_VATROS_26_H_Counter_Height_Bar_Stools_Set_of_.jpg; home_product_012_Sponsored_Ad_-_Nourison_Home_23_Natural_White_Ceramic_Jar_Ta.jpg; home_product_007_Sponsored_Ad_-_Henn_Hart_25_5_Modern_1-Light_Ceramic_Table_L.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Show how this table lamp would look in my kitchen,home_scene_015_Sponsored_Ad_-_ONBRILL_Stationary_Kitchen_Islands_Include_2_.jpg; home_product_010_PoKat_23_Modern_Ceramic_Table_Lamp_Set_of_2_for_Living_Room_.jpg; home_product_024_Framed_Neutral_Abstract_Wall_Art_Set_of_3_Modern_Canvas_Prin.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Insert this table lamp into the kitchen naturally,home_scene_016_Sponsored_Ad_-_RIVOVA_Contemporary_Cream_Linen_Bar_Stools_Se.jpg; home_product_009_Sponsored_Ad_-_USumkky_20_5_White_Modern_Ceramic_Bedside_Lam.jpg; home_product_022_Large_Abstract_Canvas_Wall_Art_Black_and_Grey_Art_Pictures_f.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Can you place these items in my kitchen?,home_scene_017_Kitchen_Island_with_Storage_and_Seating_Include_2_Bar_Stools.jpg; home_product_047_Sponsored_Ad_-_danpinera_2-Tier_End_Table_Outdoor_Side_Table.jpg; home_product_049_Sponsored_Ad_-_OBJET_D_ART_Small_Round_Gold_End_Tables_Laris.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Place this floor lamp in the dining room,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg; home_product_002_Sponsored_Ad_-_Nintiue_Upgraded_Modern_Arc_Dimmable_Tall_Sta.jpg; home_product_019_Sponsored_Ad_-_Wieco_Art_Large_Wall_Art_Canvas_Prints_of_Caf.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Add this area rug to the dining area,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg; home_product_029_Sponsored_Ad_-_Tyrot_Modern_Geometric_5x7_Area_Rugs_Non_Slip.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Show how this wall art would look in my dining room,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg; home_product_024_Framed_Neutral_Abstract_Wall_Art_Set_of_3_Modern_Canvas_Prin.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Insert this wall art into the dining room scene,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg; home_product_021_Sponsored_Ad_-_IAFWZX_Framed_Blue_Gray_Abstract_Wall_Art_Mod.jpg; home_product_026_Sponsored_Ad_-_GarveeHome_5x7_Abstract_Area_Rug_for_Living_R.jpg; home_product_027_Sponsored_Ad_-_BESTSWEETIE_5x7_Area_Rugs_for_Living_Room_Was.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Can you place these items in my dining room?,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg; home_product_020_Sponsored_Ad_-_PHOPAGO_Black_Abstract_Wall_Art_Large_16x24in.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Place this wall art in the bathroom,home_scene_028_Sponsored_Ad_-_Bimno_LED_Bathroom_Mirror_48_x32_Wall-Mounted.jpg; home_product_018_Sponsored_Ad_-_Abstract_Framed_Wall_Art_Colorful_Picture_Pri.jpg; home_product_046_Sponsored_Ad_-_ZEXVIDA_Round_Gold_Side_Table_2_Tier_Tempered.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Add this wall art to the bathroom scene,home_scene_029_Sponsored_Ad_-_Etemnozon_LED_Bathroom_Mirrors_with_Lights_24.jpg; home_product_022_Large_Abstract_Canvas_Wall_Art_Black_and_Grey_Art_Pictures_f.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Show how this wall art would look in my bathroom,home_scene_030_Sponsored_Ad_-_Niccy_Led_Mirror_for_Bathroom_32_x20_Frameles.jpg; home_product_023_Large_Framed_Black_and_White_Neutral_Abstract_Wall_Art_for_L.jpg; home_product_025_Sponsored_Ad_-_Kureful_Gold_Wall_Decor_-_Black_Canvas_Wall_A.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Place this floor lamp in the home office,home_scene_036_Sponsored_Ad_-_SEDETA_Executive_Desk_61_Farmhouse_L_Shaped_D.jpg; home_product_001_Sponsored_Ad_-_Gold_Floor_Lamps_for_Living_Room_Arc_Floor_La.jpg; home_product_036_Furinno_Jaya_Book_Shelf_5-Tier_Bookshelf_Bookcase_with_Adjus.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Add this table lamp to the study area,home_scene_037_Sponsored_Ad_-_LVB_Reversible_Gray_L_Shaped_Corner_Desk_Farm.jpg; home_product_012_Sponsored_Ad_-_Nourison_Home_23_Natural_White_Ceramic_Jar_Ta.jpg
Edit,In-Scene Product Placement,"Insert products into a user-provided home photo with correct scale, lighting, and perspective",Show how this floor lamp would look in my home office,home_scene_038_Sponsored_Ad_-_SEDETA_67_Farmhouse_L_Shaped_Desk_with_3_Draw.jpg; home_product_003_Sponsored_Ad_-_eyassi_Arc_Floor_Lamp_with_3_Color_Temperatur.jpg; home_product_034_Sponsored_Ad_-_VASAGLE_CUSTOS_Collection_-_Bookshelf_5-Tier_.jpg; home_product_006_Sponsored_Ad_-_Glivpny_Vintage_Lamp_for_Living_Room_16_Moder.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Transform this living room into a modern minimalist style,home_scene_000_Sponsored_Ad_-_CHITA_Curved_Sectional_Sofa_with_Lumbar_Pillo.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Redesign this living room in Scandinavian style,home_scene_001_Sponsored_Ad_-_JIASTING_Mid_Century_1_Loveseat_Sofa_and_2_Ac.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Generate a bohemian-inspired version of this living room,home_scene_002_Sponsored_Ad_-_CHITA_127_Super_Large_Sectional_Couches_for_L.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Convert this living room to an industrial loft aesthetic,home_scene_003_Sponsored_Ad_-_Mjkone_3_Pieces_Living_Room_Sofa_Set_Modern_S.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Restyle this living room in mid-century modern design,home_scene_004_AVZEAR_3-Piece_Living_Room_Sectional_Sofa_Set_Mid-Century_Mo.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Transform this living room into a coastal beach house style,home_scene_005_Toseslo_Power_Reclining_Sofa_Set_with_LED_Light_Leather_Sect.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Redesign this living room with a rustic farmhouse look,home_scene_006_Portaforta_Sectional_Sofa_Set_77_Convertible_Sofa_45_Lovesea.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Generate an Art Deco inspired version of this bedroom,home_scene_007_Sponsored_Ad_-_CARPETNAL_Farmhouse_Dresser_and_Nightstand_Se.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Convert this bedroom to a Japanese zen minimalist style,home_scene_008_Sponsored_Ad_-_BORNOON_9-Drawer_Dresser_for_Bedroom_Modern_W.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Restyle this bedroom in contemporary luxury design,home_scene_009_Sponsored_Ad_-_T4TREAM_Farmhouse_Queen_Size_Bed_Frame_with_5.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Transform this bedroom into a French country style,home_scene_010_Sponsored_Ad_-_Fluted_Dresser_for_Bedroom_with_6_Drawers_48_.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Redesign this bedroom with a tropical resort aesthetic,home_scene_011_Kings_Brand_Furniture_Napa_Farmhouse_6-Piece_Bedroom_Set_-_B.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Generate a Mediterranean-inspired version of this bedroom,home_scene_012_LOUVIXA_Farmhouse_Bedroom_Sets_of_4_4Pcs_Farmhouse_Dresser_S.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Convert this kitchen to a Moroccan-themed design,home_scene_013_Sponsored_Ad_-_Keyluv_Kitchen_Storage_Island_with_2_Stools_5.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Restyle this kitchen in a classic traditional style,home_scene_014_Sponsored_Ad_-_VATROS_26_H_Counter_Height_Bar_Stools_Set_of_.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Transform this kitchen into an eclectic maximalist design,home_scene_015_Sponsored_Ad_-_ONBRILL_Stationary_Kitchen_Islands_Include_2_.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Redesign this kitchen with a sleek urban modern look,home_scene_016_Sponsored_Ad_-_RIVOVA_Contemporary_Cream_Linen_Bar_Stools_Se.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Generate a vintage retro-inspired version of this kitchen,home_scene_017_Kitchen_Island_with_Storage_and_Seating_Include_2_Bar_Stools.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Convert this kitchen to a warm transitional style,home_scene_018_Polibi_3-Piece_Kitchen_Island_Set_with_2_Stools_and_2_Shelve.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Restyle this kitchen in a monochromatic modern design,home_scene_019_ONBRILL_Stationary_Kitchen_Islands_Include_2_Chairs_47_Kitch.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Transform this kitchen into a nature-inspired biophilic design,home_scene_020_Sponsored_Ad_-_Counter_Height_Bar_Stools_Set_of_2_for_Kitche.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Redesign this kitchen with a glamorous Hollywood Regency style,home_scene_021_Sponsored_Ad_-_Gizoon_Dining_Table_Set_for_4_Kitchen_Table_C.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Generate a cozy hygge-inspired version of this kitchen,home_scene_022_Sponsored_Ad_-_Livinia_Seattle_5-Piece_Wooden_Dining_Table_S.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Convert this kitchen to a clean Bauhaus-influenced design,home_scene_023_Sponsored_Ad_-_Homedot_Round_Dining_Table_Set_for_4_Modern_5.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Restyle this kitchen in a warm Tuscan villa aesthetic,home_scene_024_Sponsored_Ad_-_5-Piece_Dining_Table_Set_Gray_Walnut_Brown_Wo.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Transform this kitchen into a sleek futuristic design,home_scene_025_Itaar_5-Piece_Dining_Table_Set_for_4-6_People_63_Extendable_.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Redesign this kitchen with a charming cottage core style,home_scene_026_Best_Choice_Products_5-Piece_Glass_Dining_Set_Modern_Kitchen.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Generate a sophisticated hotel-lobby inspired version of this dining room,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Convert this bathroom to a vibrant boho-chic style,home_scene_028_Sponsored_Ad_-_Bimno_LED_Bathroom_Mirror_48_x32_Wall-Mounted.jpg
Edit,Interior Style Generation,Transform a user-provided home image into a different interior design style,Restyle this bathroom in a serene spa-like wellness design,home_scene_029_Sponsored_Ad_-_Etemnozon_LED_Bathroom_Mirrors_with_Lights_24.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the coffee table with a marble-top version,home_scene_000_Sponsored_Ad_-_CHITA_Curved_Sectional_Sofa_with_Lumbar_Pillo.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the sofa fabric from leather to velvet in navy blue,home_scene_001_Sponsored_Ad_-_JIASTING_Mid_Century_1_Loveseat_Sofa_and_2_Ac.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the area rug with a larger Persian-style one,home_scene_002_Sponsored_Ad_-_CHITA_127_Super_Large_Sectional_Couches_for_L.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the wall color from white to sage green,home_scene_003_Sponsored_Ad_-_Mjkone_3_Pieces_Living_Room_Sofa_Set_Modern_S.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the curtains with floor-to-ceiling linen drapes in cream,home_scene_004_AVZEAR_3-Piece_Living_Room_Sectional_Sofa_Set_Mid-Century_Mo.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Swap the throw pillows to a mix of mustard and teal patterns,home_scene_005_Toseslo_Power_Reclining_Sofa_Set_with_LED_Light_Leather_Sect.jpg
